
=== anthropic/claude-sonnet-4.5 → results/raw/followup-anthropic_claude-sonnet-4.5.jsonl
Study G: 240 cells (120 already done) for anthropic/claude-sonnet-4.5
  follow-s-1 × G1 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-m-1 × G1 × N6: APPLIED (phase1 ok, fillers 6/6)
  follow-m-2 × G2 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-2 × G1 × N6: APPLIED (phase1 ok, fillers 6/6)
  follow-m-2 × G3 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-2 × G4 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-3 × G1 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-m-3 × G1 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-3 × G3 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-3 × G2 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-4 × G1 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-m-3 × G4 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-3 × G1 × N6: APPLIED (phase1 ok, fillers 6/6)
  follow-m-4 × G1 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-4 × G2 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-4 × G3 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-5 × G1 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-m-4 × G4 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-5 × G1 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-4 × G1 × N6: APPLIED (phase1 ok, fillers 6/6)
  follow-m-5 × G2 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-5 × G1 × N6: APPLIED (phase1 ok, fillers 6/6)
  follow-m-6 × G1 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-m-5 × G4 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-5 × G3 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-6 × G1 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-6 × G3 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-6 × G2 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-7 × G1 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-m-6 × G4 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-6 × G1 × N6: APPLIED (phase1 ok, fillers 6/6)
  follow-m-7 × G1 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-7 × G3 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-8 × G1 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-m-7 × G2 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-7 × G4 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-7 × G1 × N6: APPLIED (phase1 ok, fillers 6/6)
  follow-m-8 × G1 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-8 × G3 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-8 × G2 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-9 × G1 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-m-8 × G4 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-8 × G1 × N6: APPLIED (phase1 ok, fillers 6/6)
  follow-m-9 × G1 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-9 × G2 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-9 × G3 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-9 × G4 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-10 × G1 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-m-9 × G1 × N6: APPLIED (phase1 ok, fillers 6/6)
  follow-m-10 × G1 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-10 × G2 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-10 × G3 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-11 × G1 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-m-11 × G1 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-10 × G1 × N6: APPLIED (phase1 ok, fillers 6/6)
  follow-m-10 × G4 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-11 × G2 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-11 × G4 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-11 × G3 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-11 × G1 × N6: APPLIED (phase1 ok, fillers 6/6)
  follow-m-12 × G1 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-m-12 × G1 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-12 × G2 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-12 × G3 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-13 × G1 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-m-12 × G1 × N6: APPLIED (phase1 ok, fillers 6/6)
  follow-m-12 × G4 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-13 × G1 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-13 × G2 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-14 × G1 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-m-13 × G4 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-13 × G3 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-13 × G1 × N6: APPLIED (phase1 ok, fillers 6/6)
  follow-m-14 × G1 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-14 × G2 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-14 × G3 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-15 × G1 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-m-14 × G4 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-14 × G1 × N6: APPLIED (phase1 ok, fillers 6/6)
  follow-m-15 × G1 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-15 × G2 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-15 × G3 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-16 × G1 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-m-15 × G1 × N6: APPLIED (phase1 ok, fillers 6/6)
  follow-m-15 × G4 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-16 × G1 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-16 × G2 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-16 × G3 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-16 × G4 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-16 × G1 × N6: APPLIED (phase1 ok, fillers 6/6)
  follow-m-17 × G1 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-m-17 × G1 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-17 × G2 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-17 × G3 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-18 × G1 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-m-17 × G1 × N6: APPLIED (phase1 ok, fillers 6/6)
  follow-m-17 × G4 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-18 × G1 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-18 × G2 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-18 × G3 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-19 × G1 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-m-18 × G1 × N6: APPLIED (phase1 ok, fillers 6/6)
  follow-m-18 × G4 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-19 × G1 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-19 × G3 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-19 × G2 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-20 × G1 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-m-19 × G1 × N6: APPLIED (phase1 ok, fillers 6/6)
  follow-m-19 × G4 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-20 × G1 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-20 × G2 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-20 × G3 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-20 × G1 × N6: APPLIED (phase1 ok, fillers 6/6)
  follow-m-20 × G4 × N2: APPLIED (phase1 ok, fillers 2/2)
=== done: 240/240 new cells applied the final edit

Study G runs complete.
